SUB_TYPE,FOLDER_DESCRIPTION,APPLICANT_ORGANIZATION,COMPANY_TYPES
Advertising Sound Amplification,,Joe's Bar & Grill,Food Service
Private Sound Amplification,"Single day amplified sound permit for Pavoton event in portion of private parking area on Thursday, November 15th, 2018.",Poco Loco Supermercado,Retail
Concrete Pouring,,Hensel Phelps,Construction
Advertising Sound Amplification,,Fueld Films Inc,Entertainment
Advertising Sound Amplification,,Phillmarc Rood LLC DBA Cedar Door,Food Service
Advertising Sound Amplification,,Liberty ATX LLC,Food Service
Advertising Sound Amplification,,Aussie's Bar & Grill,Food Service
Outdoor Music Venue,,Umami Mia's Barton Sprigns LLC,Food Service
Concrete Pouring,,Jay-Reese Contractors,Construction
Advertising Sound Amplification,,Cash America Pawn Austin #4 Location #504,Finance
Advertising Sound Amplification,,S D Boque LLC,Other
Private Sound Amplification,Speakers,Hawkeye,Food Service
Private Sound Amplification,"Single day amplified sound permit for Huston-Tillotson Homecoming event on Saturday Feb 11th, 2017.",Huston-Tillotson University,Education
Government Amplified Sound,Event benefiting PeopleFund,PeopleFund,Non-profit/Charitable Organizations
Outdoor Music Venue,Open Doors & Windows only,Geisha Room LLC,Food Service
Advertising Sound Amplification,,Vagabond Collective,Retail
Outdoor Music Venue,Application to renew annual OMV permit,Brazos Hall LLC,Entertainment
Private Sound Amplification,"Amplified sound permit for Washington DC Economic Partnership event on March 11th-13th, 2017 at Cafe Blue.","Mars on Gravity Productions, LLC",Entertainment
Outdoor Music Venue,,Rabbit's Lounge,Food Service
Outdoor Music Venue,Application for Outdoor Music Venue.,West Guys LLC,Other
Outdoor Music Venue,Application to renew annual music venue permit.,Barbarella,Entertainment
Private Sound Amplification,,The Wave,Food Service
Advertising Sound Amplification,"Single day amplified sound permit for event in portion of rear parking area for Ten Thousand Villages nonprofit fundraiser / trade show on October 14th, 2016.",Ten Thousand Villages,Retail
Outdoor Music Venue,Application to renew annual music venue permit,Austin Jukebox Holdings LLC DBA Beerland Texas,Entertainment
Advertising Sound Amplification,"Single day amplified sound permit for TanZ event in parking area on the NW corner of 7th and Red River March 16th, 2017.",TanZ Productions LLC,Entertainment
Outdoor Music Venue,Application to renew annual music venue permit.,Girard Diversified,Other
Outdoor Music Venue,,THE PARK AT THE DOMAIN,Food Service
Advertising Sound Amplification,,CompassLearning Inc,Education
Outdoor Music Venue,,MALVERDE AUSTIN,Food Service
Outdoor Music Venue,Application to renew annual music venue permit.,"401 E 6th Bar, LLC",Food Service
Advertising Sound Amplification,"Amplified sound permit for 4-day event Friday March 10th - 13th, 2017 for National Kidney Foundation.",Transistor Studios,Entertainment
Private Sound Amplification,"Single day amplified sound permit for private rooftop event on Monday, May 29th, 2017.",Allen Boone Humphries Robinson LLP,Other
Concrete Pouring,Type 2 permit for one-time concrete pour permit during non-peak hours.,DKC Construction Group,Construction
Outdoor Music Venue,Application to renew annual OMV permit.,Whisler's,Food Service
Outdoor Music Venue,,GCS Entertainment Inc,Entertainment
Government Amplified Sound,Application received prior to 2/10/11 ordinance,Michael Ahern,Other
Outdoor Music Venue,Application to renew annual outdoor music venue permit.,"G'RAJ MAHAL CAFE DESI & FRIENDS, LLC",Food Service
Outdoor Music Venue,Application to renew annual Outdoor Music Venue permit.,Live Nation Worldwide Inc.,Entertainment
Private Sound Amplification,,Gypsy Sun Vintage/Big Rig,Retail
Advertising Sound Amplification,"Single day amplified sound permit for Summer Live Series event on Thursday, July 20th, 2017.",The Infinite Agency,Other
Outdoor Music Venue,Application to renew music venue permit,W Austin,Hospitality
Outdoor Music Venue,,Blind Pig LLC,Food Service
Private Sound Amplification,,Chuy's Bakery,Food Service
Advertising Sound Amplification,,Urban Outfitters,Retail
Outdoor Music Venue,applicant wants the 96 hour permit instead of the annual permit.  See Advertising permit.,Mugshots,Food Service
Outdoor Music Venue,Application to renew annual OMV permit,Easy Tiger Holdings LLC,Food Service
Outdoor Music Venue,,JUSTINE'S BRASSERIE,Food Service
Private Sound Amplification,Single day amplified sound permit for Cellis Brewery 1st year Anniversary Party.,FFBC Operations LLC,Other
Private Sound Amplification,,AMOA-Arthouse,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Zen Japanese Food,Food Service
Advertising Sound Amplification,,Cash America,Finance
Public Sound Amplification,,Rare Magazine LLC,Entertainment
Outdoor Music Venue,,Kennedy Creative,Other
Government Amplified Sound,Event benefiting area students,"Andorc, Inc.",Other
Outdoor Music Venue,Application to renew annual music venue permit.,75 1/2 Rainey Street LLC dba HALF STEP,Food Service
Government Amplified Sound,Headquarters Groundbreaking & Dedication,Texas Public Policy Foundation,Non-profit/Charitable Organizations
Private Sound Amplification,,"501 Entertinment, LLC",Entertainment
Outdoor Music Venue,Application for annual Outdoor Music Venue permit.,"7TH & Shady, LLC",Other
Outdoor Music Venue,Application to renew annual music venue permit.,MML Hospitality,Hospitality
Advertising Sound Amplification,"Single day sound permit for event on Sunday July 30th, 2017.",Stay Gold,Food Service
Outdoor Music Venue,Application to renew annual music venue permit.,Fareground,Food Service
Advertising Sound Amplification,,Top Notch Hamburgers,Food Service
Advertising Sound Amplification,"Amplified sound permit for Ethik Compound event March 13-16, 2019.",Ethik Worldwide LLC,Fashion
Advertising Sound Amplification,"Single day sound permit for East Riverside Spirits and Music Festival in vacant lawn area on Saturday October 21, 2017.",South Shore District,Finance
Advertising Sound Amplification,,Bike Texas,Non-profit/Charitable Organizations
Advertising Sound Amplification,SXSW Official Event,Hype Machine Inc/Hype Hotel,Entertainment
Outdoor Music Venue,Application to renew annual music venue permit.,Sammie's Italian LLC,Food Service
Public Sound Amplification,,Tony Powell,Other
Advertising Sound Amplification,,Bethany Andree,Other
Outdoor Music Venue,Application to renew annual Music Venue permit.,MEANWHILE BREWING CO LLC,Food Service
Advertising Sound Amplification,,Austin U Weekly,Entertainment
Outdoor Music Venue,Application to renew annual OMV permit.,"FOURTH & HAVANA, LTD  DBA TENOAK",Food Service
Outdoor Music Venue,,"Sanchez Enterprises, Inc. dba Baby Acapulco Restaurant No. 2",Food Service
Advertising Sound Amplification,,HEART OF TEXAS ROCKFEST,Entertainment
Public Sound Amplification,,The Parkside Dentist,Healthcare
Outdoor Music Venue,,Rebow LLC,Other
Private Sound Amplification,,ST. EDWARD'S UNIVERSITY - STUDENT LIFE,Education
Advertising Sound Amplification,,John Brown,Other
Government Amplified Sound,Event benefiting ABOR Foundation,ABOR FOUNDATION,Non-profit/Charitable Organizations
Advertising Sound Amplification,"Sound permit for annual waterloo records spring event March 14-17, 2018 in portion of parking area.",Waterloo Records & Vi,Retail
Advertising Sound Amplification,"Single day amplified sound permit for Austin T-Shirt Lab Grand Opening Party on Saturday, March 3rd, 2018.",Austin T-Shirt Lab,Retail
Outdoor Music Venue,,Luxury Hookah Corporation,Retail
Advertising Sound Amplification,,"Nuevo Leon, Inc.",Food Service
Advertising Sound Amplification,,Freak Show Festival,Entertainment
Outdoor Music Venue,Application for annual outdoor music venue permit.,The Betty ATX,Food Service
Private Sound Amplification,,"Wide Angle Group, Inc.",Other
Advertising Sound Amplification,,"BCMT Enterprises, LLC",Other
Government Amplified Sound,Permit for charitable orginization (St George's Episcopal Church),St George's Episcopal Church,Non-profit/Charitable Organizations
Outdoor Music Venue,Application for outdoor music venue permit for St. Genevieve.,Gavioliv  Enterprises LLC,Other
Public Sound Amplification,"Amplified sound permit for Outdoor Project's block party event on Saturday, May 19, 2018.",Outdoor Projects Inc,Construction
Outdoor Music Venue,Application to renew annual outdoor music venue permit.,Nook LLC,Food Service
Private Sound Amplification,"Amplified sound permit for Michigan House event on Monday March 13th, 2017 an Labyrinth area of St. David's Church.",Creative Many Michigan,Non-profit/Charitable Organizations
Advertising Sound Amplification,SXSW Official Event - Reminder of Permit see folder 2015-017807-SO,SXSW LLC,Entertainment
Government Amplified Sound,,Violet Crown Community Works,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Bud's Motorcycle Shop,Retail
Advertising Sound Amplification,,Front Gate Tickets,Technology
Private Sound Amplification,,Chick-Fil-A,Food Service
Public Sound Amplification,,Austin Interfaith,Non-profit/Charitable Organizations
Outdoor Music Venue,Denied due to no CO and outdoor entertainment not allowed in TOD zoning.,East Side Drive In,Food Service
Advertising Sound Amplification,,"WATERLOO RECORDS & VIDEO, INC.",Retail
Private Sound Amplification,,Zach Scott Theater,Entertainment
Private Sound Amplification,,DW Studio Productions,Entertainment
Outdoor Music Venue,Application to renew annual music venue permit.,The Dogwood,Food Service
Outdoor Music Venue,,04 Enterprises Incorporated DBA Creekside Lounge,Food Service
Government Amplified Sound,,Kinney Avenue Christian Fellowship,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Baja Racing of Texas,Entertainment
Advertising Sound Amplification,,Cash America Pawn #04,Finance
Government Amplified Sound,Event for non-profit Austin Children's Museum,The Thinkery,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Hill's Austin Cafe' LP,Food Service
Outdoor Music Venue,,Antonio's Mexican Restaurant,Food Service
Advertising Sound Amplification,,Flying Saucer,Food Service
Outdoor Music Venue,,"Karibu Ethiopian Restaurant, Inc.",Food Service
Private Sound Amplification,"Amplified sound permit for 19th annual Heart of Texas Rock Fest in portion of vacant parking lot March 16-17, 2018.",Apb Entertainment,Entertainment
Outdoor Music Venue,,Tejano Rnch,Food Service
Outdoor Music Venue,Application to renew annual music venue permit.,Austin City Limits Live Moody Theater,Entertainment
Advertising Sound Amplification,,Cascade Studios Austin,Entertainment
Advertising Sound Amplification,,Field Films,Entertainment
Government Amplified Sound,,Octopus Club/AIDS Services of Austin,Non-profit/Charitable Organizations
Public Sound Amplification,,SOUTHWEST KEY PROGRAM INC,Non-profit/Charitable Organizations
Outdoor Music Venue,,"The Eastern,LLC",Entertainment
Advertising Sound Amplification,,HOEKS PIZZA,Food Service
Government Amplified Sound,,Counter Culture,Food Service
Advertising Sound Amplification,,Austin Film Soceity,Non-profit/Charitable Organizations
Private Sound Amplification,"Single day amplified sound permit for private reception party in lawn area of Rosewood Restaurant on Saturday, October 2nd, 2021 from 6PM to 10PM.",Foster ATX,Entertainment
Private Sound Amplification,,Alice in Wonderland showing,Entertainment
Outdoor Music Venue,Duplicate -- Created in Error,Domain HC LLC,Other
Concrete Pouring,24-hour sound permit per 9-2-23 (permit for other property) to allow removal of temporary structures during non-peak hours.,"GB Five Stones Construction, LLC",Construction
Outdoor Music Venue,more information required.,Emos Annex,Entertainment
Outdoor Music Venue,,ALLAN-THRASHER L L C,Other
Government Amplified Sound,Texas music museum,texas music museum,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Texas Mist,Food Service
Private Sound Amplification,,Perla's Seafood & Oyster Bar,Food Service
Outdoor Music Venue,Application to renew annual outdoor music venue permit but with some changes in name and Wiggle Room will be permitted separately.,The Ranch 616,Food Service
Private Sound Amplification,,Brianna Eggers,Other
Advertising Sound Amplification,,Meridian Hive Meadery,Food Service
Outdoor Music Venue,Application to renew annual music venue permit.,401 E 6TH BAR LLC,Food Service
Public Sound Amplification,Permit for non-profit/charitable orginization,Dear Texas Inc,Other
Outdoor Music Venue,Application for annual outdoor music venue permit,The Creek and The Cave,Entertainment
Advertising Sound Amplification,,Studio 8 Architects,Other
Outdoor Music Venue,,Sixth Red River LC,Other
Advertising Sound Amplification,,Awestruck Marketing Group,Other
Advertising Sound Amplification,,Action Marketing Group LLC,Other
Advertising Sound Amplification,,Something Inc DBA Antone's Nightclub,Entertainment
Advertising Sound Amplification,,Wit-Sa LLC,Other
Outdoor Music Venue,,"Freedman's, LLC",Food Service
Private Sound Amplification,,Terra Burger,Food Service
Advertising Sound Amplification,,Cain & Abel's,Food Service
Advertising Sound Amplification,,LU GROCERY CENTER LP A TEXAS LIMITED PARTNERSHIP,Retail
Private Sound Amplification,,Black Star Co-Op,Food Service
Advertising Sound Amplification,Inside building,Mellow Mushroom,Food Service
Outdoor Music Venue,,Friends Austin,Food Service
Advertising Sound Amplification,,Republic of Texas Biker Rally,Entertainment
Government Amplified Sound,,Iglesia Remanente,Non-profit/Charitable Organizations
Outdoor Music Venue,,The Powder Room LLC,Retail
Outdoor Music Venue,Application to renew annual music venue permit.,THE BLACKHEART LLC,Food Service
Outdoor Music Venue,No parking for outdoor seating,CAJUN PIZZA PLACE,Food Service
Advertising Sound Amplification,,Fueled Films,Entertainment
Outdoor Music Venue,,Clearport LLC,Entertainment
Advertising Sound Amplification,School of Rock,Paul Green School of Rock Texas LLC.,Education
Private Sound Amplification,"Amplified sound permit for concert / private party at the Carpenter Hotel on Friday, September 9th, 2022 from 6pm - 10pm.",Carpenter Hotel,Hospitality
Private Sound Amplification,,West's Wine Art and Music,Food Service
Public Sound Amplification,11th st in front of capital will use small battery operated sound system to amplify and voice opinion,Truth Austin,Entertainment
Advertising Sound Amplification,,Nice N Clean,Other
Advertising Sound Amplification,,"THE VISIONARY GROUP, LLC",Other
Advertising Sound Amplification,,Dottye Dean,Other
Advertising Sound Amplification,,Emos Night Club,Entertainment
Advertising Sound Amplification,,Tacorrido Restaurant,Food Service
Outdoor Music Venue,Application for Outdoor Music Venue permit.,Coyote Ugly Saloon,Food Service
Advertising Sound Amplification,,Keep It Local,Non-profit/Charitable Organizations
Government Amplified Sound,,Love-A-Bull,Non-profit/Charitable Organizations
Government Amplified Sound,Event benefiting person with leukemia,Screaming Goat LLC,Food Service
Outdoor Music Venue,,"Moncada Enterprises, LLC",Food Service
Outdoor Music Venue,,JJG Sixth Group Inc DBA Union Park,Food Service
Concrete Pouring,,Rogers-O'Brien Const,Construction
Private Sound Amplification,,University Towers,Hospitality
Private Sound Amplification,"Amplified sound permit for Tejano y Mas 3 day event March 15-17, 2018.",Austin Tejano Music Coalition,Non-profit/Charitable Organizations
Advertising Sound Amplification,Grand Opening event,Lovely Austin Boutique,Retail
Private Sound Amplification,,Nice & Clean,Other
Outdoor Music Venue,Application for annual Outdoor Music Venue permit.,"CAPITAL COMMERCIAL INVESTMENTS, INC.",Finance
Outdoor Music Venue,OMV renewal.,Oilcan Harry S,Food Service
Advertising Sound Amplification,,PRO ARTS COLLECTIVE,Non-profit/Charitable Organizations
Advertising Sound Amplification,,South Congress Athletic Club,Healthcare
Government Amplified Sound,,Austin Children's Museum,Non-profit/Charitable Organizations
Advertising Sound Amplification,2011 Texas Rockfest,Red Fez,Food Service
Outdoor Music Venue,,Regina Thomas,Other
Advertising Sound Amplification,,LA PATISSERIE,Food Service
Private Sound Amplification,"Sound Permit"" Khabele School""",Khabala school,Education
Advertising Sound Amplification,,Qui Restaurant,Food Service
Private Sound Amplification,,Olivia Restaurant (70 db level),Food Service
Private Sound Amplification,private sound amplification,Waterloo Brothers LLC,Other
Advertising Sound Amplification,,The Soup Peddler,Food Service
Advertising Sound Amplification,,The Liberty,Food Service
Advertising Sound Amplification,,415 Productions LLC,Entertainment
Advertising Sound Amplification,,Weird City Hip Hop Festival,Entertainment
Advertising Sound Amplification,Single day amplified sound permit for South Austin Music's 30th Anniversary on 10/02/2016.,South Austin Music,Retail
Advertising Sound Amplification,,White Mountain Foods,Food Service
Advertising Sound Amplification,Single day amplified sound permit for Battleground Texas HQ office opening event in parking area / patio on 08/25/2016.,Battleground Texas,Non-profit/Charitable Organizations
Private Sound Amplification,"Single day amplified sound permit for office / client party on Tuesday March 28th, 2017.",Drenner Group,Other
Outdoor Music Venue,Application to renew annual Music Venue permit.,Austin Public Library - Central Library,Education
Government Amplified Sound,,Cover 3 Anderson Lane LLC,Food Service
Advertising Sound Amplification,,Aus-Tex Building Consultants,Construction
Outdoor Music Venue,Application for annual outdoor music venue permit.,HEB,Retail
Advertising Sound Amplification,,"Soular Foods Of Texas, Inc",Food Service
Advertising Sound Amplification,,Bobo's Snack Bar,Food Service
Outdoor Music Venue,,Six Colorado Venture Ltd,Other
Public Sound Amplification,"Single day amplified sound permit for Earth Day Austin event on Saturday April 22nd, 2017.",Earth Day Texas Austin,Non-profit/Charitable Organizations
Advertising Sound Amplification,,LaV Restaurant & Wine Bar,Food Service
Outdoor Music Venue,***WITHDRAWN PER APPLICANT REQUEST*** Application for annual Outdoor Music Venue permit.,Aba Austin LLC,Food Service
Advertising Sound Amplification,Event cancelled due to inclement weather.,The Well,Healthcare
Government Amplified Sound,,ARTIST FOR MEDIA DIVERSITY,Non-profit/Charitable Organizations
Public Sound Amplification,Movies in the park,Catellus Development Corporation,Finance
Advertising Sound Amplification,,Martel Windows and Doors LLC,Construction
Outdoor Music Venue,,"Downtown Jo's, L.P.",Food Service
Government Amplified Sound,,Austin Gay and Lesbian Pride Foundation,Non-profit/Charitable Organizations
Advertising Sound Amplification,,HOPE Events,Non-profit/Charitable Organizations
Outdoor Music Venue,Application to renew annual OMV permit.,Barbarella LLC,Entertainment
Advertising Sound Amplification,,Arlyn Studios,Entertainment
Private Sound Amplification,"Single day sound permit for Nasha 3yr Anniversary Party on Saturday, November 4, 2017.",Nasha Restaurant Inc.,Food Service
Outdoor Music Venue,,Lustre Pearl LLC,Food Service
Private Sound Amplification,,La Boite Enterprises,Food Service
Advertising Sound Amplification,,Homeslice Pizza,Food Service
Outdoor Music Venue,Application for annual outdoor music venue permit.,Funlab,Entertainment
Outdoor Music Venue,Application to renew annual music venue permit.,Oilcan Harry's,Food Service
Outdoor Music Venue,Application to renew annual music venue permit.,Gnar Bar,Food Service
Government Amplified Sound,Event benefiting American Diabetes Association,AMERICAN DIABETES ASSOCIATION,Non-profit/Charitable Organizations
Private Sound Amplification,"Single day sound permit for Kappa Kappa Gamma party Friday March 31st, 2017.",DIRTY MARTINS PLACE INC,Food Service
Government Amplified Sound,Event for Non-Profit Co-Lab Projects.,Co-Lab Projects,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Clink,Other
Advertising Sound Amplification,SXSW Official Application.,"Brazos Hall, LLC",Entertainment
Government Amplified Sound,,Austin Wine & Music Festival,Entertainment
Public Sound Amplification,,Central East Austin Weed & Seed,Non-profit/Charitable Organizations
Private Sound Amplification,"Single day amplified sound permit for Chingona Fest Texas 2019 on Saturday, June 22nd, 2019. (event postponed from April due to weather).",Hustle for the Cause,Non-profit/Charitable Organizations
Outdoor Music Venue,,CUS Austin LLC,Other
Advertising Sound Amplification,"Single day sound permit for event on Saturday March 11th, 2017 in portion of parking area.",Enviromedia,Other
Advertising Sound Amplification,,Nordstrom Inc,Retail
Public Sound Amplification,"Single day amplified sound permit for Keep Austin Beautiful Clean Sweep event on Saturday April 8th, 2017.",Keep Austin Beautiful,Non-profit/Charitable Organizations
Private Sound Amplification,Single day amplified sound permit for private party on 09/24/2016.,Great Hills Country Club,Entertainment
Moving Vehicle,,Occupy Austin,Non-profit/Charitable Organizations
Outdoor Music Venue,Application for Outdoor Music Venue permit.,KESHVARI KEIVAN & REGINA HOOTEN,Other
Outdoor Music Venue,,The Naty,Entertainment
Outdoor Music Venue,,"Third Base Austin Downtown, LLC",Food Service
Advertising Sound Amplification,No TUP required for events occuring at religious instiutions.,Caplan Miller Events,Other
Outdoor Music Venue,,Shabby LLC dba Encore,Retail
Outdoor Music Venue,,Vulcan Gas Company,Entertainment
Advertising Sound Amplification,Withdrawn per applicant request -- no outdoor amplified sound.,Stretch Recipes Inc,Technology
Outdoor Music Venue,Application to renew annual Outdoor Music Venue permit.,SKYBOX on 6TH,Food Service
Private Sound Amplification,,NICOLE L. C. BLAIR,Other
Advertising Sound Amplification,,Under the Sun Austin,Retail
Advertising Sound Amplification,,Sigma Delta Tau,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Ncompass International,Other
Advertising Sound Amplification,,Univision Radio,Entertainment
Advertising Sound Amplification,,whitesiren presents,Entertainment
Public Sound Amplification,,S & W Permits *MAIN*,Other
Advertising Sound Amplification,Applicant never picked up permit.,Austin Social Affair LLC,Other
Advertising Sound Amplification,,Dan Dillard & Co/NEST Financial,Finance
Government Amplified Sound,,AUSTIN SCHOOL FOR PERFORMING & VISUAL ARTS,Education
Private Sound Amplification,"Single day amplified sound permit for Hustle House spring event March 10, 2018.",Black and Brown Founders,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Odyssey BMX,Retail
Advertising Sound Amplification,,Beauty Ballroom,Entertainment
Outdoor Music Venue,Application to renew annual music venue permit.,Brazos Hall,Entertainment
Outdoor Music Venue,for open doors / windows.,HUDSON ON FIFTH / REPUBLIC LIVE,Entertainment
Public Sound Amplification,,Capital Metro (Cynthia Lucas),Transportation
Private Sound Amplification,,Big House Sound Inc,Entertainment
Outdoor Music Venue,Agent withdrew application.,"Morsels, L.P.",Food Service
Advertising Sound Amplification,,Carson International Inc,Other
Government Amplified Sound,,"Balcones Recycling, Inc.",Utilities
Private Sound Amplification,"Single day amplified sound permit for Ion Art Surreal Sea event on Saturday, November 17, 2018.",Ion Art Inc,Manufacturing
Concrete Pouring,Type 2 permit for one-time concrete pour permit during non-peak hours.,"Terra Excavating and Construction, LLC",Construction
Concrete Pouring,,Veritas Group,Other
Advertising Sound Amplification,"4 day sound permit for Starz American Gods event March 10th - 13th, 2017.",Premier Displays,Other
Concrete Pouring,Request for Type 2 permit concrete pouring permit,HENSEL PHELPS CONSTRUCTION COMPANY,Construction
Advertising Sound Amplification,,Rally Marketing Group Inc,Other
Advertising Sound Amplification,,TROIS   INC,Retail
Outdoor Music Venue,,Dustin Daniels,Other
Advertising Sound Amplification,,Old Pecan Street Enterprises Inc,Food Service
Advertising Sound Amplification,,Opal Divine's Marina LP,Food Service
Government Amplified Sound,Non-Profit event for Flatwater Foundation,Flatwater Foundation,Non-profit/Charitable Organizations
Government Amplified Sound,,National Eating Disorder Association (NEDA),Non-profit/Charitable Organizations
Advertising Sound Amplification,,MKTG,Other
Advertising Sound Amplification,"Multi-day amplified sound permit for Prime Video event March 8-11, 2019.",LEADDOG MARKETING,Other
Advertising Sound Amplification,,"Mercury Permits, Inc! (THIS ONE)",Other
Outdoor Music Venue,Establishment Closed,The Paradise Cafe,Food Service
Outdoor Music Venue,,TRACE AT W AUSTIN,Food Service
Advertising Sound Amplification,,Nine Mile Records,Entertainment
Advertising Sound Amplification,,"Gayatri, Inc.",Retail
Advertising Sound Amplification,,TurnKey Operations,Other
Advertising Sound Amplification,,"TROPHY'S BAR, INC.",Food Service
Advertising Sound Amplification,,Heard Entertainment LLC,Entertainment
Outdoor Music Venue,Application to renew annual music venue permit.,Half Step Bar (Address is a half address),Food Service
Outdoor Music Venue,,RAIN ON 4TH,Food Service
Advertising Sound Amplification,Freak Show Festival,J. Simmons Industries,Other
Outdoor Music Venue,,Javelina,Food Service
Advertising Sound Amplification,,Giant Noise,Other
Advertising Sound Amplification,,Red Velvet Events Inc.,Other
Government Amplified Sound,Event for Seton (Non-Profit Orginization),Setib McCarthy Community Health,Healthcare
Government Amplified Sound,Charity event,Animal Trustees Of Austin,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Clear Wireless Inc,Technology
Advertising Sound Amplification,,AUSTIN AMERICAN STATESMAN,Entertainment
Advertising Sound Amplification,,Sony PCL Inc,Technology
Government Amplified Sound,,BILLY CANNON S,Other
Advertising Sound Amplification,,National Media Services Inc,Technology
Government Amplified Sound,,DOMME CHARITY EVENT,Entertainment
Private Sound Amplification,,Cream Vintage,Retail
Outdoor Music Venue,Application to renew annual music venue permit,LITTLE WOODROWS,Food Service
Outdoor Music Venue,For open doors / windows only.,Sixth Street Concepts,Food Service
Advertising Sound Amplification,,Delta Millworks Inc,Manufacturing
Advertising Sound Amplification,SXSW Official,Vice Media Inc,Entertainment
Advertising Sound Amplification,,Mercury Permits Inc.,Other
Advertising Sound Amplification,,iHeart Media,Entertainment
Advertising Sound Amplification,,BeCore Inc,Other
Outdoor Music Venue,Application to renew music venue permit.,Austin Nightlife LLC,Entertainment
Advertising Sound Amplification,,University Co-op Society,Retail
Outdoor Music Venue,,"616 Restaurant, Inc. DBA Ranch 616",Food Service
Government Amplified Sound,,Dolores Catholic Church,Non-profit/Charitable Organizations
Outdoor Music Venue,,Bar Ninety Six Austin LLC,Food Service
Advertising Sound Amplification,,JO'S HOT COFFEE,Food Service
Advertising Sound Amplification,,Kendra Scott LLC,Fashion
Private Sound Amplification,Two small patio speakers on the front of the building for background music during the 1 year anniversary party.,Little Brother,Food Service
Advertising Sound Amplification,,Full Frontal Productions,Entertainment
Private Sound Amplification,"four day amplified sound permit for annual Lustre Pearl East spring event March 14-17, 2018.",Lustre Pearl East LLC,Food Service
Outdoor Music Venue,,"Austin Mix-It, LLC",Other
Advertising Sound Amplification,,The Revolution Inc,Retail
Advertising Sound Amplification,,The Church on Congress Avenue,Non-profit/Charitable Organizations
Outdoor Music Venue,Application for annual music venue permit.,Lobos Hospitality,Hospitality
Outdoor Music Venue,Application for annual outdoor music venue permit.,Radio East,Food Service
Advertising Sound Amplification,,DEN Property Group,Finance
Government Amplified Sound,,Love ATX of Love Unity Foundation,Non-profit/Charitable Organizations
Outdoor Music Venue,,Heard Ent Texas,Entertainment
Outdoor Music Venue,,Off the Wagon DBA Dirty Dog Bar,Food Service
Advertising Sound Amplification,,FG Squared Multimedia,Entertainment
Private Sound Amplification,"Amplified sound permit for temporary private corporate party on 29th floor outdoor terrace on Friday, December 13th, 2024 from 6pm - 10:00pm.",Meta,Technology
Outdoor Music Venue,,"RMG - Rio Management Group, LLC",Hospitality
Private Sound Amplification,"Single day sound permit for private event on Thursday October 5th, 2017 on 6th floor section of parking garage.",Cultivate PR,Other
Advertising Sound Amplification,,"Intergalactic Triangle, LLC dba Galaxy Cafe",Food Service
Government Amplified Sound,,Jewish Community Center of Austin,Non-profit/Charitable Organizations
Outdoor Music Venue,Application for annual Outdoor Music Venue permit.,"Soho House Austin, LLC",Hospitality
Outdoor Music Venue,,Stubbs Austin Restaurant Company LC,Entertainment
Advertising Sound Amplification,,Vevo Inc LLC,Entertainment
Advertising Sound Amplification,,Colorado Street Managers,Other
Outdoor Music Venue,,Moncada Enterprises LLC,Food Service
Government Amplified Sound,Church event,Cathedral of St Mary's,Non-profit/Charitable Organizations
Private Sound Amplification,Multi-day amplified sound permit for small outdoor sound setup in courtyard space.,Aron Levine Productions,Entertainment
Private Sound Amplification,"Single day amplified sound permit for Chuy's 35th Anniversary event on Tuesday April 25th, 2017.","Chuy's Opco., Inc.",Food Service
Outdoor Music Venue,Restaurant,ROMEO' BARTON SPRINGS LLC,Food Service
Outdoor Music Venue,,Elm Resturant Group,Food Service
Private Sound Amplification,,"ZEN MEN, LLC DBA THE WAR HORSE",Food Service
Private Sound Amplification,,Austin Revitalization Authority,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Fueld Films,Entertainment
Outdoor Music Venue,Application for music venue permit at existing restaurant.,EASTSIDE SHOWROOM,Food Service
Government Amplified Sound,,ARTHRITIS FOUNDATION-AUSTIN,Non-profit/Charitable Organizations
Private Sound Amplification,Private event at Applebee's,Applebee's Restaurant,Food Service
Outdoor Music Venue,,Gayatri Inc,Retail
Outdoor Music Venue,,WL Star Bar LLC,Food Service
Private Sound Amplification,,Torchy's Tacos,Food Service
Advertising Sound Amplification,,Under The Sun Austin,Retail
Private Sound Amplification,,One Clipboard,Technology
Advertising Sound Amplification,Amplified sound permit for 3 day event starting January 27th at vacant parking lot.,Grandesign Media Services,Other
Advertising Sound Amplification,,"DC + CJ Holdings, LP",Other
Advertising Sound Amplification,SXSW Official Event,VICE Media Inc,Entertainment
Government Amplified Sound,,The Boiling Pot,Food Service
Advertising Sound Amplification,,Pecan Street Association DBA Old pecan street ass.,Non-profit/Charitable Organizations
Outdoor Music Venue,,Quickie Pickie,Retail
Advertising Sound Amplification,,TFR Agency LLC,Other
Outdoor Music Venue,,Vortex Repertory Company,Entertainment
Advertising Sound Amplification,,SXSW,Entertainment
Private Sound Amplification,,Mystic Law Productions,Entertainment
